title,balance,category,price
The Intentional Entrepreneur -Bodde,48,PSY,55
Investmentment - 6E - Sharpe/Alexander/Bailey,10,MGT,250
International Business Theory & Practice -2nd Ajami/Cool...,3,GEN,150
International Business Text & Practice -5th Cherunilam,20,GEN,55
International Business - 6E - Justin Paul,26,FIC,100
Investment Management -Maheshwari,9,POL,70
YeSira Amerer Tibebina Teyayazh Gudayoch - Tadesse Biru Kersmo (Dr.),3,PSY,35.5
Fundamentals of Entrepreneurship -Mohanty,10,POE,25
Enterprisewide Resource Planning Theory and Practice - Altekar,24,GEN,150
Yeamerare Scince ena Tibebe ...Fikade,0,ENG,29
Kayzen LeTeqenaje LeAstemamagn Lewt 2gna Etim,4,LAN,39
Zemenawi Gibiyit -Tefera Muluneh,9,FIC,65.99
Ysew Habt Sira Amerar -Fisiha Tekle,8,POE,35
Make a difference with Customer Service - Aschalew Tamiru,24,MAT,37
Ysine Amerar Finote Tibebe -Trans. H/Micheal Abebe,5,PHY,1185
Leadership Secrets -John C. Maxwell,16,LAW,130
Edan Yemkfel Seketama Mengde,0,LAW,70
ADVANCED CORPORATE FINANCE KRISHNAMURTI/VISHWANATH,4,electrical engineering,885
BUSINESS ETHICS NEW CHALLENGES FOR BUSINESS SCHOOL - PETERSEN/FERRELL,11,MAT,885
BUSINESS POLICY & STRATEGIC MANAGEMENT: CONCEPTS & APPLICATIONS (REV) 2/E GUPTA et al,4,LAN,525
"BUSINESS STATISTICS: THEORY AND APPLICATIONS JANI, P N",0,PSY,1575
DEVELOPING DECISION-MAKING SKILLS FOR BUSINESS SIMON,0,PSY,860
"FUNDAMENTALS OF ENTREPRENEURSHIP, Revised Mohanty",1,SOC,195
Ethipia Unity Map,0,FIC,65
Kuraz Chemistry G11-12,0,ORM,12
Star Chemistry G11-12,0,CHI,12
Extreme Chemistry G11-12,0,GEN,33
The New Guide Chemistry G11-12,0,ICT,300
Royal Chemistry G9-10,0,ENI,585
Vital Chemistry G9-10,6,ENI,585
Extreme Chemistry G9-10,3,AGR,820
Solar Chemistry G 9-10,0,CHE,520
Alpha Chemistry G9-10,92,AGR,820
Modern Chemistry G 9-10,0,AGR,540
Galaxy Chemistry G11-12,0,AMH,15
Royal Chemistry G 7-8,0,CHI,28
Modern Chemistry G7-8,4,CHI,90
Extreme Chemistry G7-8,118,CHI,21
A Guide to Basic Chemistry G7-8,67,CHI,25.4
Worldwide Chemistry G9-10,66,HIS,142.5
